exerciseId,patternId,exerciseName,imageFilename,imageURL,key,mode,rhythm,articulation,dynamic,timeSignature,direction,description,patternType
10,10,G Major Whole Note Long Tone Fermata Pattern 10,10_g_major_whole_note_long_tone_fermata_Pattern_10.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/10_g_major_whole_note_long_tone_fermata_Pattern_10.cropped.png,g,major,whole_note,"[{'articulation': 'fermata', 'index': 0, 'name': 'fermata'}]",,"(4, 4)",,Hold the note with a strong sound for as long as you can. Make sure it has a clean ending!,long_tone
11,11,G Major Quarter Note Scale Pattern 11,11_g_major_quarter_note_scale_Pattern_11.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/11_g_major_quarter_note_scale_Pattern_11.cropped.png,g,major,quarter_note,[],,"(4, 4)",,Play all notes evenly. Look ahead to the next note.,scale
12,12,G Major Quarter Note Arpeggio Pattern 12,12_g_major_quarter_note_arpeggio_Pattern_12.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/12_g_major_quarter_note_arpeggio_Pattern_12.cropped.png,g,major,quarter_note,[],,"(4, 4)",,This is an arpeggio. Notice how it skips notes..,arpeggio
13,13,G Major Whole Note Long Tone Fermata Pattern 13,13_g_major_whole_note_long_tone_fermata_Pattern_13.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/13_g_major_whole_note_long_tone_fermata_Pattern_13.cropped.png,g,major,whole_note,"[{'articulation': 'fermata', 'index': 0, 'name': 'fermata'}]",,"(4, 4)",,Hold the note with a strong sound for as long as you can. Make sure it has a clean ending!,long_tone
14,14,G Major Quarter Note Scale Pattern 14,14_g_major_quarter_note_scale_Pattern_14.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/14_g_major_quarter_note_scale_Pattern_14.cropped.png,g,major,quarter_note,[],,"(4, 4)",,Play each note evenly. Repeat as many times as you can!,scale
15,15,G Major Quarter Note Scale Pattern 15,15_g_major_quarter_note_scale_Pattern_15.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/15_g_major_quarter_note_scale_Pattern_15.cropped.png,g,major,quarter_note,[],,"(4, 4)",,Play strictly in time with the metronome.,scale
16,16,G Major Whole Note Long Tone Fermata Pattern 16,16_g_major_whole_note_long_tone_fermata_Pattern_16.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/16_g_major_whole_note_long_tone_fermata_Pattern_16.cropped.png,g,major,whole_note,"[{'articulation': 'fermata', 'index': 0, 'name': 'fermata'}]",,"(4, 4)",,Hold the note with a strong sound for as long as you can. Make sure it has a clean ending!,long_tone
17,17,G Major Quarter Note Scale Pattern 17,17_g_major_quarter_note_scale_Pattern_17.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/17_g_major_quarter_note_scale_Pattern_17.cropped.png,g,major,quarter_note,[],,"(4, 4)",,Play strictly in time with the metronome.,scale
18,18,G Major Quarter Note Scale Pattern 18,18_g_major_quarter_note_scale_Pattern_18.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/18_g_major_quarter_note_scale_Pattern_18.cropped.png,g,major,quarter_note,[],,"(4, 4)",,"Hold the note for the full value. 
Use a comfortable dynamic. 
Strive for a consistent, clear, in-tune, sound.",scale
19,19,G Major Whole Note Long Tone Fermata Pattern 19,19_g_major_whole_note_long_tone_fermata_Pattern_19.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/19_g_major_whole_note_long_tone_fermata_Pattern_19.cropped.png,g,major,whole_note,"[{'articulation': 'fermata', 'index': 0, 'name': 'fermata'}]",,"(4, 4)",,Hold the note with a strong sound for as long as you can. Make sure it has a clean ending!,long_tone
20,20,G Major Quarter Note Scale Pattern 20,20_g_major_quarter_note_scale_Pattern_20.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/20_g_major_quarter_note_scale_Pattern_20.cropped.png,g,major,quarter_note,[],,"(4, 4)",,Adding the ninth helps the scale fit the metre.,scale
21,21,G Major Quarter Note Arpeggio Pattern 21,21_g_major_quarter_note_arpeggio_Pattern_21.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/21_g_major_quarter_note_arpeggio_Pattern_21.cropped.png,g,major,quarter_note,[],,"(4, 4)",,This is an arpeggio. Notice how it skips notes..,arpeggio
22,22,G Major Quarter Note Scale Pattern 22,22_g_major_quarter_note_scale_Pattern_22.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/22_g_major_quarter_note_scale_Pattern_22.cropped.png,g,major,quarter_note,[],,"(4, 4)",,Quick finger movement for a clean sound.,scale
23,23,G Major Quarter Note Arpeggio Pattern 23,23_g_major_quarter_note_arpeggio_Pattern_23.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/23_g_major_quarter_note_arpeggio_Pattern_23.cropped.png,g,major,quarter_note,[],,"(4, 4)",,Repeat as many times as possible before the last note.,arpeggio
24,24,G Major Quarter Note Arpeggio Pattern 24,24_g_major_quarter_note_arpeggio_Pattern_24.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/24_g_major_quarter_note_arpeggio_Pattern_24.cropped.png,g,major,quarter_note,[],,"(4, 4)",,Repeat as many times as possible before the last note.,arpeggio
25,25,G Major Whole Note Long Tone Fermata Pattern 25,25_g_major_whole_note_long_tone_fermata_Pattern_25.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/25_g_major_whole_note_long_tone_fermata_Pattern_25.cropped.png,g,major,whole_note,"[{'articulation': 'fermata', 'index': 0, 'name': 'fermata'}]",,"(4, 4)",,"Hold the note for the full value, off on 1 (-1). 
Use a mp to mf dynamic. 
Strive for a consistent, clear, in-tune, sound.",long_tone
26,26,G Major Dotted Half Note Long Tone Pattern 26,26_g_major_dotted_half_note_long_tone_Pattern_26.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/26_g_major_dotted_half_note_long_tone_Pattern_26.cropped.png,g,major,dotted_half_note,[],,"(3, 4)",,"Hold the note for the full value, off on 1 (-1). 
Use a mp to mf dynamic. 
Strive for a consistent, clear, in-tune, sound.",long_tone
27,27,G Major Quarter Note Rhythm Pattern 27,27_g_major_quarter_note_rhythm_Pattern_27.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/27_g_major_quarter_note_rhythm_Pattern_27.cropped.png,g,major,quarter_note,[],,"(4, 4)",,"Hold the note for the full value. 
Use a comfortable dynamic. 
Repeat twice and end with a good whole note.
Play well 5 times.",rhythm
28,28,G Major Quarter Note Rhythm Pattern 28,28_g_major_quarter_note_rhythm_Pattern_28.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/28_g_major_quarter_note_rhythm_Pattern_28.cropped.png,g,major,quarter_note,[],,"(4, 4)",,"Hold each note for the full value. 
Use a comfortable dynamic. 
Repeat twice and end with a good whole note.
Play well 5 times.",rhythm
29,29,G Major Quarter Note Rhythm Pattern 29,29_g_major_quarter_note_rhythm_Pattern_29.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/29_g_major_quarter_note_rhythm_Pattern_29.cropped.png,g,major,quarter_note,[],,"(4, 4)",,"Hold each note for the full value. 
Use a comfortable dynamic. 
Repeat twice and end with a good whole note.
Play well 5 times.",rhythm
30,30,G Major Half Note Scale Pattern 30,30_g_major_half_note_scale_Pattern_30.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/30_g_major_half_note_scale_Pattern_30.cropped.png,g,major,half_note,[],,"(4, 4)",,"Hold the note for the full value. 
Use a comfortable dynamic. 
Strive for a consistent, clear, in-tune, sound.
 Play each note evenly.",scale
31,31,G Major Scale Pattern 31,31_g_major_scale_Pattern_31.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/31_g_major_scale_Pattern_31.cropped.png,g,major,,[],,"(3, 4)",,"Hold the note for the full value. 
Use a comfortable dynamic. 
Strive for a consistent, clear, in-tune, sound.",scale
32,32,G Major Quarter Note Rhythm Pattern 32,32_g_major_quarter_note_rhythm_Pattern_32.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/32_g_major_quarter_note_rhythm_Pattern_32.cropped.png,g,major,quarter_note,[],,"(4, 4)",,"Hold the note for the full value. 
Use a comfortable dynamic. 
Strive for a consistent, clear, in-tune, sound.",rhythm
33,33,G Major Quarter Note Rhythm Pattern 33,33_g_major_quarter_note_rhythm_Pattern_33.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/33_g_major_quarter_note_rhythm_Pattern_33.cropped.png,g,major,quarter_note,[],,"(4, 4)",,"Hold the note for the full value. 
Use a comfortable dynamic. 
Strive for a consistent, clear, in-tune, sound.",rhythm
34,34,G Major Quarter Note Rhythm Pattern 34,34_g_major_quarter_note_rhythm_Pattern_34.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/34_g_major_quarter_note_rhythm_Pattern_34.cropped.png,g,major,quarter_note,[],,"(4, 4)",,"Hold the note for the full value. 
Use a comfortable dynamic. 
Strive for a consistent, clear, in-tune, sound.",rhythm
35,35,G Major Quarter Note Scale Pattern 35,35_g_major_quarter_note_scale_Pattern_35.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/35_g_major_quarter_note_scale_Pattern_35.cropped.png,g,major,quarter_note,[],,"(4, 4)",,"Hold the note for the full value. 
Use a comfortable dynamic. 
Strive for a consistent, clear, in-tune, sound.",scale
36,36,G Major Quarter Note Scale Pattern 36,36_g_major_quarter_note_scale_Pattern_36.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/36_g_major_quarter_note_scale_Pattern_36.cropped.png,g,major,quarter_note,[],,"(4, 4)",,"Hold the note for the full value. 
Use a comfortable dynamic. 
Strive for a consistent, clear, in-tune, sound.",scale
37,37,G Major Quarter Note Scale Pattern 37,37_g_major_quarter_note_scale_Pattern_37.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/37_g_major_quarter_note_scale_Pattern_37.cropped.png,g,major,quarter_note,[],,"(4, 4)",,"Hold the note for the full value. 
Use a comfortable dynamic. 
Strive for a consistent, clear, in-tune, sound.",scale
38,38,G Major Quarter Note Scale Pattern 38,38_g_major_quarter_note_scale_Pattern_38.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/38_g_major_quarter_note_scale_Pattern_38.cropped.png,g,major,quarter_note,[],,"(4, 4)",,"Hold the note for the full value. 
Use a comfortable dynamic. 
Strive for a consistent, clear, in-tune, sound.",scale
39,39,G Major Quarter Note Scale Pattern 39,39_g_major_quarter_note_scale_Pattern_39.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/39_g_major_quarter_note_scale_Pattern_39.cropped.png,g,major,quarter_note,[],,"(4, 4)",,"Hold the note for the full value. 
Use a comfortable dynamic. 
Strive for a consistent, clear, in-tune, sound.",scale
40,0,G Natural Minor Whole Note Long Tone Fermata Pattern 0,40_g_natural_minor_whole_note_long_tone_fermata_Pattern_0.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/40_g_natural_minor_whole_note_long_tone_fermata_Pattern_0.cropped.png,g,natural_minor,whole_note,"[{'articulation': 'fermata', 'index': 0, 'name': 'fermata'}]",,"(4, 4)",,Hold the note for as long as you can. Make sure it has a clean ending!,long_tone
41,1,G Natural Minor Whole Note Long Tone Fermata Pattern 1,41_g_natural_minor_whole_note_long_tone_fermata_Pattern_1.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/41_g_natural_minor_whole_note_long_tone_fermata_Pattern_1.cropped.png,g,natural_minor,whole_note,"[{'articulation': 'fermata', 'index': 0, 'name': 'fermata'}]",,"(4, 4)",,Hold the note for as long as you can. Make sure it has a clean ending!,long_tone
42,2,G Natural Minor Quarter-Note Rhythm Pattern 2,42_g_natural_minor_quarter-note_rhythm_Pattern_2.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/42_g_natural_minor_quarter-note_rhythm_Pattern_2.cropped.png,g,natural_minor,quarter-note,[],,"(4, 4)",,Play both notes evenly and in time.,rhythm
43,3,G Natural Minor Quarter-Note Rhythm Pattern 3,43_g_natural_minor_quarter-note_rhythm_Pattern_3.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/43_g_natural_minor_quarter-note_rhythm_Pattern_3.cropped.png,g,natural_minor,quarter-note,[],,"(4, 4)",,Play the notes evenly and precisely.,rhythm
44,4,G Natural Minor Quarter-Note Rhythm Pattern 4,44_g_natural_minor_quarter-note_rhythm_Pattern_4.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/44_g_natural_minor_quarter-note_rhythm_Pattern_4.cropped.png,g,natural_minor,quarter-note,[],,"(4, 4)",,"Quick, precise finger movement.",rhythm
45,5,G Natural Minor Quarter-Note Rhythm Pattern 5,45_g_natural_minor_quarter-note_rhythm_Pattern_5.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/45_g_natural_minor_quarter-note_rhythm_Pattern_5.cropped.png,g,natural_minor,quarter-note,[],,"(4, 4)",,Play all notes with the same tone.,rhythm
46,6,G Natural Minor Whole Note Long Tone Pattern 6,46_g_natural_minor_whole_note_long_tone_Pattern_6.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/46_g_natural_minor_whole_note_long_tone_Pattern_6.cropped.png,g,natural_minor,whole_note,[],,"(4, 4)",,Hold the note with a strong sound for as long as you can. Make sure it has a clean ending!,long_tone
47,7,G Natural Minor Quarter-Note Interval Pattern 7,47_g_natural_minor_quarter-note_interval_Pattern_7.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/47_g_natural_minor_quarter-note_interval_Pattern_7.cropped.png,g,natural_minor,quarter-note,[],,"(4, 4)",,Quick and precise finger movement.,interval
48,8,G Natural Minor Whole Note Long Tone Fermata Pattern 8,48_g_natural_minor_whole_note_long_tone_fermata_Pattern_8.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/48_g_natural_minor_whole_note_long_tone_fermata_Pattern_8.cropped.png,g,natural_minor,whole_note,"[{'articulation': 'fermata', 'index': 0, 'name': 'fermata'}]",,"(4, 4)",,Hold the note with a strong sound for as long as you can. Make sure it has a clean ending!,long_tone
49,9,G Natural Minor Quarter Note Scale Pattern 9,49_g_natural_minor_quarter_note_scale_Pattern_9.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/49_g_natural_minor_quarter_note_scale_Pattern_9.cropped.png,g,natural_minor,quarter_note,[],,"(4, 4)",,Play all notes evenly. Look ahead to the next note.,scale
50,10,G Natural Minor Whole Note Long Tone Fermata Pattern 10,50_g_natural_minor_whole_note_long_tone_fermata_Pattern_10.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/50_g_natural_minor_whole_note_long_tone_fermata_Pattern_10.cropped.png,g,natural_minor,whole_note,"[{'articulation': 'fermata', 'index': 0, 'name': 'fermata'}]",,"(4, 4)",,Hold the note with a strong sound for as long as you can. Make sure it has a clean ending!,long_tone
51,11,G Natural Minor Quarter Note Scale Pattern 11,51_g_natural_minor_quarter_note_scale_Pattern_11.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/51_g_natural_minor_quarter_note_scale_Pattern_11.cropped.png,g,natural_minor,quarter_note,[],,"(4, 4)",,Play all notes evenly. Look ahead to the next note.,scale
52,12,G Natural Minor Quarter Note Arpeggio Pattern 12,52_g_natural_minor_quarter_note_arpeggio_Pattern_12.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/52_g_natural_minor_quarter_note_arpeggio_Pattern_12.cropped.png,g,natural_minor,quarter_note,[],,"(4, 4)",,This is an arpeggio. Notice how it skips notes..,arpeggio
53,13,G Natural Minor Whole Note Long Tone Fermata Pattern 13,53_g_natural_minor_whole_note_long_tone_fermata_Pattern_13.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/53_g_natural_minor_whole_note_long_tone_fermata_Pattern_13.cropped.png,g,natural_minor,whole_note,"[{'articulation': 'fermata', 'index': 0, 'name': 'fermata'}]",,"(4, 4)",,Hold the note with a strong sound for as long as you can. Make sure it has a clean ending!,long_tone
54,14,G Natural Minor Quarter Note Scale Pattern 14,54_g_natural_minor_quarter_note_scale_Pattern_14.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/54_g_natural_minor_quarter_note_scale_Pattern_14.cropped.png,g,natural_minor,quarter_note,[],,"(4, 4)",,Play each note evenly. Repeat as many times as you can!,scale
55,15,G Natural Minor Quarter Note Scale Pattern 15,55_g_natural_minor_quarter_note_scale_Pattern_15.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/55_g_natural_minor_quarter_note_scale_Pattern_15.cropped.png,g,natural_minor,quarter_note,[],,"(4, 4)",,Play strictly in time with the metronome.,scale
56,16,G Natural Minor Whole Note Long Tone Fermata Pattern 16,56_g_natural_minor_whole_note_long_tone_fermata_Pattern_16.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/56_g_natural_minor_whole_note_long_tone_fermata_Pattern_16.cropped.png,g,natural_minor,whole_note,"[{'articulation': 'fermata', 'index': 0, 'name': 'fermata'}]",,"(4, 4)",,Hold the note with a strong sound for as long as you can. Make sure it has a clean ending!,long_tone
57,17,G Natural Minor Quarter Note Scale Pattern 17,57_g_natural_minor_quarter_note_scale_Pattern_17.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/57_g_natural_minor_quarter_note_scale_Pattern_17.cropped.png,g,natural_minor,quarter_note,[],,"(4, 4)",,Play strictly in time with the metronome.,scale
58,18,G Natural Minor Quarter Note Scale Pattern 18,58_g_natural_minor_quarter_note_scale_Pattern_18.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/58_g_natural_minor_quarter_note_scale_Pattern_18.cropped.png,g,natural_minor,quarter_note,[],,"(4, 4)",,"Hold the note for the full value. 
Use a comfortable dynamic. 
Strive for a consistent, clear, in-tune, sound.",scale
59,19,G Natural Minor Whole Note Long Tone Fermata Pattern 19,59_g_natural_minor_whole_note_long_tone_fermata_Pattern_19.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/59_g_natural_minor_whole_note_long_tone_fermata_Pattern_19.cropped.png,g,natural_minor,whole_note,"[{'articulation': 'fermata', 'index': 0, 'name': 'fermata'}]",,"(4, 4)",,Hold the note with a strong sound for as long as you can. Make sure it has a clean ending!,long_tone
60,20,G Natural Minor Quarter Note Scale Pattern 20,60_g_natural_minor_quarter_note_scale_Pattern_20.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/60_g_natural_minor_quarter_note_scale_Pattern_20.cropped.png,g,natural_minor,quarter_note,[],,"(4, 4)",,Adding the ninth helps the scale fit the metre.,scale
61,21,G Natural Minor Quarter Note Arpeggio Pattern 21,61_g_natural_minor_quarter_note_arpeggio_Pattern_21.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/61_g_natural_minor_quarter_note_arpeggio_Pattern_21.cropped.png,g,natural_minor,quarter_note,[],,"(4, 4)",,This is an arpeggio. Notice how it skips notes..,arpeggio
62,22,G Natural Minor Quarter Note Scale Pattern 22,62_g_natural_minor_quarter_note_scale_Pattern_22.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/62_g_natural_minor_quarter_note_scale_Pattern_22.cropped.png,g,natural_minor,quarter_note,[],,"(4, 4)",,Quick finger movement for a clean sound.,scale
63,23,G Natural Minor Quarter Note Arpeggio Pattern 23,63_g_natural_minor_quarter_note_arpeggio_Pattern_23.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/63_g_natural_minor_quarter_note_arpeggio_Pattern_23.cropped.png,g,natural_minor,quarter_note,[],,"(4, 4)",,Repeat as many times as possible before the last note.,arpeggio
64,24,G Natural Minor Quarter Note Arpeggio Pattern 24,64_g_natural_minor_quarter_note_arpeggio_Pattern_24.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/64_g_natural_minor_quarter_note_arpeggio_Pattern_24.cropped.png,g,natural_minor,quarter_note,[],,"(4, 4)",,Repeat as many times as possible before the last note.,arpeggio
65,25,G Natural Minor Whole Note Long Tone Fermata Pattern 25,65_g_natural_minor_whole_note_long_tone_fermata_Pattern_25.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/65_g_natural_minor_whole_note_long_tone_fermata_Pattern_25.cropped.png,g,natural_minor,whole_note,"[{'articulation': 'fermata', 'index': 0, 'name': 'fermata'}]",,"(4, 4)",,"Hold the note for the full value, off on 1 (-1). 
Use a mp to mf dynamic. 
Strive for a consistent, clear, in-tune, sound.",long_tone
66,26,G Natural Minor Dotted Half Note Long Tone Pattern 26,66_g_natural_minor_dotted_half_note_long_tone_Pattern_26.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/66_g_natural_minor_dotted_half_note_long_tone_Pattern_26.cropped.png,g,natural_minor,dotted_half_note,[],,"(3, 4)",,"Hold the note for the full value, off on 1 (-1). 
Use a mp to mf dynamic. 
Strive for a consistent, clear, in-tune, sound.",long_tone
67,27,G Natural Minor Quarter Note Rhythm Pattern 27,67_g_natural_minor_quarter_note_rhythm_Pattern_27.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/67_g_natural_minor_quarter_note_rhythm_Pattern_27.cropped.png,g,natural_minor,quarter_note,[],,"(4, 4)",,"Hold the note for the full value. 
Use a comfortable dynamic. 
Repeat twice and end with a good whole note.
Play well 5 times.",rhythm
68,28,G Natural Minor Quarter Note Rhythm Pattern 28,68_g_natural_minor_quarter_note_rhythm_Pattern_28.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/68_g_natural_minor_quarter_note_rhythm_Pattern_28.cropped.png,g,natural_minor,quarter_note,[],,"(4, 4)",,"Hold each note for the full value. 
Use a comfortable dynamic. 
Repeat twice and end with a good whole note.
Play well 5 times.",rhythm
69,29,G Natural Minor Quarter Note Rhythm Pattern 29,69_g_natural_minor_quarter_note_rhythm_Pattern_29.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/69_g_natural_minor_quarter_note_rhythm_Pattern_29.cropped.png,g,natural_minor,quarter_note,[],,"(4, 4)",,"Hold each note for the full value. 
Use a comfortable dynamic. 
Repeat twice and end with a good whole note.
Play well 5 times.",rhythm
70,30,G Natural Minor Half Note Scale Pattern 30,70_g_natural_minor_half_note_scale_Pattern_30.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/70_g_natural_minor_half_note_scale_Pattern_30.cropped.png,g,natural_minor,half_note,[],,"(4, 4)",,"Hold the note for the full value. 
Use a comfortable dynamic. 
Strive for a consistent, clear, in-tune, sound.
 Play each note evenly.",scale
71,31,G Natural Minor Scale Pattern 31,71_g_natural_minor_scale_Pattern_31.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/71_g_natural_minor_scale_Pattern_31.cropped.png,g,natural_minor,,[],,"(3, 4)",,"Hold the note for the full value. 
Use a comfortable dynamic. 
Strive for a consistent, clear, in-tune, sound.",scale
72,32,G Natural Minor Quarter Note Rhythm Pattern 32,72_g_natural_minor_quarter_note_rhythm_Pattern_32.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/72_g_natural_minor_quarter_note_rhythm_Pattern_32.cropped.png,g,natural_minor,quarter_note,[],,"(4, 4)",,"Hold the note for the full value. 
Use a comfortable dynamic. 
Strive for a consistent, clear, in-tune, sound.",rhythm
73,33,G Natural Minor Quarter Note Rhythm Pattern 33,73_g_natural_minor_quarter_note_rhythm_Pattern_33.cropped.png,https://mysaxpracticeexercisebucket.s3.amazonaws.com/img/73_g_natural_minor_quarter_note_rhythm_Pattern_33.cropped.png,g,natural_minor,quarter_note,[],,"(4, 4)",,"Hold the note for the full value. 
Use a comfortable dynamic. 
Strive for a consistent, clear, in-tune, sound.",rhythm
